,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
0,Tyler Ervin|RB|130.11667021029265,Roosevelt Nix|RB|133.37610613774152,Anthony Miller|WR|144.76088648230237,Alvin Kamara|RB|134.08732309035074,Jordan Akins|TE|119.41574376560469,Anthony Sherman|RB|136.3074639125381,Damiere Byrd|WR|118.9854491663679,Tom Brady|QB|217.8055556665643,Orson Charles|TE|127.62904425393434,Russell Wilson|QB|244.22042558735566,Cam Newton|QB|243.60075674558297,Aaron Rodgers|QB|231.22131152594648
1,Tim White|WR|96.78296274359526,David Morgan|TE|128.48063865378552,Neal Sterling|TE|130.88715064571895,Christian Kirk|WR|142.2104274555792,Dak Prescott|QB|161.01600307837143,Robert Foster|WR|138.14199274165958,Senorise Perry|RB|125.74204224433954,Philip Rivers|QB|211.3277649900681,Logan Thomas|QB|151.58202290928048,Erik Swoope|TE|118.90480971155063,Byron Marshall|RB|129.2211892744808,Drew Brees|QB|231.18403005519983
2,Jalen Tolliver|WR|92.56977351784826,Justin Jackson|RB|134.04258525432465,Rashaad Penny|RB|112.0104274555792,Elijah McGuire|RB|135.60121301599642,Andy Dalton|QB|169.9124920183157,Jaylen Samuels|RB|115.16422001616534,Zach Line|RB|134.71790223259904,Mo Alie-Cox|TE|124.4756069934149,Jamaal Williams|RB|116.12379537728799,Royce Freeman|RB|134.4731442176949,Kareem Hunt|RB|138.06248892953462,Josh Adams|RB|128.49203797593114
3,Samaje Perine|RB|96.8399917095054,Jehu Chesson|WR|99.82260331701927,Tommy Bohanon|RB|131.69310995797912,Nick Chubb|RB|142.13830885818206,Kenjon Barner|RB|93.87081440354814,Ito Smith|RB|128.49203797593114,Hayden Hurst|TE|123.68267366008156,Gus Edwards|RB|132.3435990504489,Josh Allen|QB|193.91685339306323,Corey Clement|RB|114.73436482657603,Phillip Lindsay|RB|157.23717078260026,Derek Watt|RB|129.82149152508487
4,Tre'Quan Smith|WR|138.82537130926445,Saquon Barkley|RB|168.29775222155774,Sean Mannion|QB|116.60294968799057,J.D. McKissic|RB|92.02716203935965,Andy Janovich|RB|66.32880573454668,Kerryon Johnson|RB|101.42412039466011,Todd Gurley|RB|147.95167831024818,Marquez Valdes-Scantling|WR|138.14199274165958,Cooper Kupp|WR|122.900606872561,Matthew Stafford|QB|206.35171037279017,Josh Reynolds|WR|108.7122730003261,Derrick Henry|RB|114.83148658810387
5,Matt Ryan|QB|210.01178461584183,Johnny Holton|WR|115.54043861319758,Chris Carson|RB|93.67922026231504,Joshua Dobbs|QB|107.95709152601279,David Moore|WR|143.02537130926447,Derek Carr|QB|185.4248876369015,Sam Darnold|QB|139.99071435899216,Marcus Murphy|RB|48.951200102560904,Nyheim Hines|RB|113.4546581060056,Ezekiel Elliott|RB|72.72109628003102,Sony Michel|RB|98.74189654238718,Antonio Callaway|WR|138.78059385102827
6,Melvin Gordon|RB|121.51485770576942,Kenyan Drake|RB|111.66156739249645,Kirk Cousins|QB|153.66121862473042,Blake Bortles|QB|186.252341134978,Marshawn Lynch|RB|83.7667986744779,Kevin White|WR|133.15650099792543,James Conner|RB|101.80869013870058,Courtland Sutton|WR|138.9769148969947,Dalvin Cook|RB|82.59096559609331,Gehrig Dieter|WR|106.0495096023112,LeSean McCoy|RB|102.20707642122191,Austin Ekeler|RB|74.83663735368732
7,Dante Pettis|WR|142.12055828554378,Ben Roethlisberger|QB|200.6361027059204,Marcus Kemp|WR|89.79042485934612,Brandon Zylstra|WR|106.0495096023112,Devonta Freeman|RB|76.21818408887934,Matt Breida|RB|80.43943838855479,Tommylee Lewis|WR|119.63215285984874,Jordan Howard|RB|90.55243256290963,Malik Turner|WR|88.50060685118159,Nick Williams|WR|125.00809424631821,Lamar Jackson|QB|114.65086189466008,Ray-Ray McCloud|WR|88.50060685118159
8,Carlos Hyde|RB|70.3869572937952,Daniel Brown|WR|135.1345069479904,Rashad Greene|WR|101.49617710817681,Trevor Davis|WR|124.76907394932972,John Ross|WR|98.6253120989453,Mike Gesicki|TE|108.14839313219176,Cam Phillips|WR|89.79042485934612,Pharoh Cooper|WR|119.69411686324109,Geremy Davis|WR|93.08632172269104,Chad Beebe|WR|102.7162960769286,Ben Koyack|TE|132.26041871366556,Dan Arnold|TE|108.14839313219176
9,Bradley Marquez|WR|93.6504438876405,KhaDarel Hodge|WR|88.49736616751977,Max McCaffrey|WR|98.05876067746273,Allen Lazard|WR|89.79042485934612,Jaydon Mickens|WR|95.63695434820413,Jojo Natson|WR|102.21327278701928,Auden Tate|WR|94.16727351784827,Leonte Carroo|WR|126.6053111439143,Christian McCaffrey|RB|75.78832140752961,Darvin Kidsy|WR|89.79042485934612,JJ Jones|WR|105.44549783428035,J'Mon Moore|WR|90.37434744836317
10,James White|RB|86.05633416355244,River Cracraft|WR|97.04962941026194,Tevin Coleman|RB|96.00282917172206,Javon Wims|WR|97.3162960769286,Justin Watson|WR|89.79042485934612,Aaron Jones|RB|78.19888609633476,Keon Hatcher|WR|96.78296274359526,Tanner McEvoy|WR|87.33268051576476,Charone Peake|WR|94.43296995930639,Josh Malone|WR|94.99441524103986,D.J. Moore|WR|113.4546581060056,Antonio Brown|WR|112.22505398274235
11,Tarik Cohen|WR|69.43943410659563,Adam Thielen|WR|97.79336738802571,Zay Jones|WR|75.30775621489374,Michael Thomas|WR|81.18380646887779,Brandin Cooks|WR|93.10962117742822,Julio Jones|WR|88.95035530153852,JuJu Smith-Schuster|WR|76.38926544043322,Davante Adams|WR|106.75194224178576,Tyreek Hill|WR|123.57057783614152,Calvin Ridley|WR|90.4353447527846,DeAndre Hopkins|WR|103.09225495303195,Mike Evans|WR|101.32338723356732
